ts,symbol,price,qty,side
1766650544282,BTCUSDT,87687.04,0.0165,sell
1766650730438,BTCUSDT,87687.0,0.00114,sell
1766650959005,BTCUSDT,87634.45,0.00113,sell
1766650960741,BTCUSDT,87634.45,1e-05,sell
1766650967847,BTCUSDT,87545.19,0.00232,sell
1766650968022,BTCUSDT,87545.19,2e-05,sell
1766650968040,BTCUSDT,87545.18,0.00013,sell
1766651028892,BTCUSDT,87444.31,0.00065,sell
1766651436157,BTCUSDT,87628.0,0.00083,sell
1766651735319,BTCUSDT,87623.28,2e-05,buy
1766652882918,BTCUSDT,87619.32,0.00171,buy
1766652882918,BTCUSDT,87619.33,0.0017,buy
1766653355407,BTCUSDT,87707.55,0.00023,buy
1766653547605,BTCUSDT,87478.72,0.00034,sell
1766654749042,BTCUSDT,87463.08,0.00112,sell
1766656139868,BTCUSDT,87461.78,4e-05,sell
1766657069941,BTCUSDT,87642.37,0.00069,buy
1766657093804,BTCUSDT,87417.94,0.0002,sell
1766657098953,BTCUSDT,87418.05,0.00068,sell
1766657150363,BTCUSDT,87640.43,0.00057,buy
1766657240817,BTCUSDT,87638.25,6e-05,buy
1766657414217,BTCUSDT,87634.65,0.00011,buy
1766657427719,BTCUSDT,87634.46,0.00011,buy
1766657450485,BTCUSDT,87634.02,0.00114,buy
1766657521688,BTCUSDT,87632.62,0.00313,buy
1766658935788,BTCUSDT,87416.88,0.00038,sell
1766658937391,BTCUSDT,87398.87,0.00013,sell
1766658937595,BTCUSDT,87398.87,2e-05,sell
1766658937816,BTCUSDT,87370.0,0.0001,sell
1766658942750,BTCUSDT,87346.14,0.00033,sell
1766659173810,BTCUSDT,87304.49,0.00115,sell
1766659173810,BTCUSDT,87304.37,0.00165,sell
1766659565342,BTCUSDT,87500.39,2e-05,buy
1766659605602,BTCUSDT,87279.26,0.0003,sell
1766659730514,BTCUSDT,87498.36,0.00033,buy
1766660288641,BTCUSDT,87297.5,8e-05,sell
1766660450482,BTCUSDT,87493.88,0.00057,buy
1766660885413,BTCUSDT,87628.88,6e-05,buy
1766660889436,BTCUSDT,87324.62,0.00022,sell
1766661077304,BTCUSDT,87335.1,0.00115,sell
1766661290389,BTCUSDT,87621.04,8e-05,buy
1766661652268,BTCUSDT,87353.11,3e-05,sell
1766662115340,BTCUSDT,87612.9,0.00057,buy
1766662160482,BTCUSDT,87612.63,0.00057,buy
1766662205911,BTCUSDT,87612.26,0.00171,buy
1766662205911,BTCUSDT,87612.27,0.00162,buy
1766663314647,BTCUSDT,87413.69,2e-05,sell
1766663825368,BTCUSDT,87604.08,0.00017,buy
1766663825368,BTCUSDT,87604.09,5e-05,buy
1766664080506,BTCUSDT,87602.54,2e-05,buy
1766664140438,BTCUSDT,87602.26,0.00028,buy
1766664275307,BTCUSDT,87601.55,0.00011,buy
1766664350445,BTCUSDT,87601.53,0.00028,buy
1766664605345,BTCUSDT,87601.07,6e-05,buy
1766664605377,BTCUSDT,87601.07,6e-05,buy
1766664680773,BTCUSDT,87600.41,0.0004,buy
1766664785395,BTCUSDT,87599.52,6e-05,buy
1766664845418,BTCUSDT,87598.94,0.00028,buy
1766664882813,BTCUSDT,87598.53,5e-05,buy
1766665029007,BTCUSDT,87453.84,2e-05,sell
1766665210295,BTCUSDT,87595.43,0.0001,buy
1766665748413,BTCUSDT,87730.21,0.00022,buy
1766666549289,BTCUSDT,87710.04,3e-05,buy
1766667342801,BTCUSDT,87476.36,6e-05,sell
1766667342801,BTCUSDT,87476.35,0.00016,sell
1766667757777,BTCUSDT,87682.23,5e-05,buy
1766667830392,BTCUSDT,87680.9,3e-05,buy
1766667830446,BTCUSDT,87680.9,0.00011,buy
1766667991049,BTCUSDT,87482.3,0.00171,sell
1766667991057,BTCUSDT,87482.29,0.06723,sell
1766667991110,BTCUSDT,87482.29,0.02746,sell
1766668025394,BTCUSDT,87618.5,0.00085,buy
1766668099400,BTCUSDT,87618.06,0.00011,buy
1766668206311,BTCUSDT,87617.32,2e-05,buy
1766668250473,BTCUSDT,87617.31,0.00114,buy
1766668400440,BTCUSDT,87616.23,0.00011,buy
1766668462649,BTCUSDT,87615.51,0.00273,buy
1766669255357,BTCUSDT,87575.37,0.00028,buy
1766669693020,BTCUSDT,87568.3,0.00114,buy
1766670123302,BTCUSDT,87561.77,0.00171,buy
1766670123302,BTCUSDT,87561.79,0.00176,buy
1766670205467,BTCUSDT,87561.48,0.00354,buy
1766670205581,BTCUSDT,87561.48,0.00367,buy
1766670205657,BTCUSDT,87561.48,0.00338,buy
1766670205657,BTCUSDT,87561.49,0.00012,buy
1766670205690,BTCUSDT,87561.49,0.00283,buy
1766670206115,BTCUSDT,87561.49,0.00436,buy
1766670206124,BTCUSDT,87561.49,0.00239,buy
1766670207439,BTCUSDT,87561.49,0.00421,buy
1766670207449,BTCUSDT,87561.49,0.00067,buy
